Plus Sign,+
"Classic Edition: the symbol вҠҶ (Left Shoe Underbar) is not available in Classic Edition, and Partition is instead represented by вҺ•U2286.<br/>Y may be any non-scalar array.<br/>X must be a simple scalar or vector of non-negative integers.<br/>The axis specification is optional.  If present, it must be a simple integer scalar or one element array representing an axis of Y.  If absent, the last axis is implied.<br/>R is an array of the elements of Y partitioned according to X.<br/>A new partition is started in the result whenever the corresponding element in X is greater than the previous one. Items in Y corresponding to 0s in X are not included in the result.<br/>Note that if вҺ•MLвүҘ3, the symbol вҠӮ means the same as вҠҶ.",Partition
⊆,Left Shoe Underbar<br/>Monadic: Nest<br/>Dyadic: Partition
Right Shoe,⊃
Monadic: If ⎕ML<2Disclose;First,⊃
"The symbol chosen to represent Disclose depends on the current Migration Level.<br/>If  ⎕ML<2, Disclose is represented by the symbol: ⊃.<br/>If  ⎕ML≥2, Disclose is represented by the symbol: ↑.<br/>Y may be any array.  R is an array.  If Y is non-empty, R is the value of the first item of Y taken in ravel order.  If Y is empty, R is the prototype of Y.<br/>Disclose is the inverse of Enclose.  The identity R←→⊃⊂R holds for all R.  Disclose is also referred to as First.",⊃
⊃,"The symbol chosen to represent Disclose depends on the current Migration Level.<br/>If  ⎕ML<2, Disclose is represented by the symbol: ⊃.<br/>If  ⎕ML≥2, Disclose is represented by the symbol: ↑.<br/>Y may be any array.  R is an array.  If Y is non-empty, R is the value of the first item of Y taken in ravel order.  If Y is empty, R is the prototype of Y.<br/>Disclose is the inverse of Enclose.  The identity R←→⊃⊂R holds for all R.  Disclose is also referred to as First."
Disclose,"The symbol chosen to represent Disclose depends on the current Migration Level.<br/>If  ⎕ML<2, Disclose is represented by the symbol: ⊃.<br/>If  ⎕ML≥2, Disclose is represented by the symbol: ↑.<br/>Y may be any array.  R is an array.  If Y is non-empty, R is the value of the first item of Y taken in ravel order.  If Y is empty, R is the prototype of Y.<br/>Disclose is the inverse of Enclose.  The identity R←→⊃⊂R holds for all R.  Disclose is also referred to as First."
"The symbol chosen to represent Disclose depends on the current Migration Level.<br/>If  ⎕ML<2, Disclose is represented by the symbol: ⊃.<br/>If  ⎕ML≥2, Disclose is represented by the symbol: ↑.<br/>Y may be any array.  R is an array.  If Y is non-empty, R is the value of the first item of Y taken in ravel order.  If Y is empty, R is the prototype of Y.<br/>Disclose is the inverse of Enclose.  The identity R←→⊃⊂R holds for all R.  Disclose is also referred to as First.",Disclose
Dyadic: Pick,⊃
"Y may be any array.<br/> X is a scalar or vector of indices of Y.<br/> R is an item selected from the structure of Y according to X.<br/>Elements of X select from successively deeper levels in the structure of Y.  The items of X are simple integer scalars or vectors which identify a set of indices, one per axis at the particular level of nesting of Y in row-major order.  Simple scalar items in Y may be picked by empty vector items in X to any arbitrary depth.<br/>⎕IO is an implicit argument of Pick.",⊃
⊃,"Y may be any array.<br/> X is a scalar or vector of indices of Y.<br/> R is an item selected from the structure of Y according to X.<br/>Elements of X select from successively deeper levels in the structure of Y.  The items of X are simple integer scalars or vectors which identify a set of indices, one per axis at the particular level of nesting of Y in row-major order.  Simple scalar items in Y may be picked by empty vector items in X to any arbitrary depth.<br/>⎕IO is an implicit argument of Pick."
Pick,"Y may be any array.<br/> X is a scalar or vector of indices of Y.<br/> R is an item selected from the structure of Y according to X.<br/>Elements of X select from successively deeper levels in the structure of Y.  The items of X are simple integer scalars or vectors which identify a set of indices, one per axis at the particular level of nesting of Y in row-major order.  Simple scalar items in Y may be picked by empty vector items in X to any arbitrary depth.<br/>⎕IO is an implicit argument of Pick."
"Y may be any array.<br/> X is a scalar or vector of indices of Y.<br/> R is an item selected from the structure of Y according to X.<br/>Elements of X select from successively deeper levels in the structure of Y.  The items of X are simple integer scalars or vectors which identify a set of indices, one per axis at the particular level of nesting of Y in row-major order.  Simple scalar items in Y may be picked by empty vector items in X to any arbitrary depth.<br/>⎕IO is an implicit argument of Pick.",Pick
⊃,Right Shoe<br/>Monadic: If ⎕ML<2Disclose;First<br/>Dyadic: Pick
Epsilon,∊
Monadic: If ⎕ML=0 Type Of,∊
Migration level must be such that ⎕ML<1 (otherwise ∊ means Enlist. See Enlist).<br/>Y may be any array.  R is an array with the same shape and structure as Y in which a numeric value is replaced by 0 and a character value is replaced by ' '.,∊
∊,Migration level must be such that ⎕ML<1 (otherwise ∊ means Enlist. See Enlist).<br/>Y may be any array.  R is an array with the same shape and structure as Y in which a numeric value is replaced by 0 and a character value is replaced by ' '.
Type,Migration level must be such that ⎕ML<1 (otherwise ∊ means Enlist. See Enlist).<br/>Y may be any array.  R is an array with the same shape and structure as Y in which a numeric value is replaced by 0 and a character value is replaced by ' '.
Migration level must be such that ⎕ML<1 (otherwise ∊ means Enlist. See Enlist).<br/>Y may be any array.  R is an array with the same shape and structure as Y in which a numeric value is replaced by 0 and a character value is replaced by ' '.,Type
Dyadic: Member Of,∊
"Y may be any array.  X may be any array.  R is Boolean. An element of R is 1 if the corresponding element of X can be found in Y.<br/>An element of X is considered identical to an element in Y if X≡Y returns 1 for those elements.<br/>⎕CT and ⎕DCT are  implicit arguments of Membership.<br/>For performance information, see Search Functions and Hash Tables.",∊
∊,"Y may be any array.  X may be any array.  R is Boolean. An element of R is 1 if the corresponding element of X can be found in Y.<br/>An element of X is considered identical to an element in Y if X≡Y returns 1 for those elements.<br/>⎕CT and ⎕DCT are  implicit arguments of Membership.<br/>For performance information, see Search Functions and Hash Tables."
Membership,∊
Membership,"Y may be any array.  X may be any array.  R is Boolean. An element of R is 1 if the corresponding element of X can be found in Y.<br/>An element of X is considered identical to an element in Y if X≡Y returns 1 for those elements.<br/>⎕CT and ⎕DCT are  implicit arguments of Membership.<br/>For performance information, see Search Functions and Hash Tables."
"Y may be any array.  X may be any array.  R is Boolean. An element of R is 1 if the corresponding element of X can be found in Y.<br/>An element of X is considered identical to an element in Y if X≡Y returns 1 for those elements.<br/>⎕CT and ⎕DCT are  implicit arguments of Membership.<br/>For performance information, see Search Functions and Hash Tables.",Membership
∊,Epsilon<br/>Monadic: If ⎕ML=0 Type Of<br/>Dyadic: Member Of
Epsilon Underbar,⍷
Dyadic: Find,⍷
"X and Y may be any arrays.  R is a simple Boolean array the same shape as Y which identifies occurrences of X within Y.<br/>If the rank of X is smaller than the rank of Y, X is treated as if it were the same rank with leading axes of size 1.  For example a vector is treated as a 1-row matrix.<br/>If the rank of X is larger than the rank of Y, no occurrences of X are found in Y.<br/>⎕CT and ⎕DCT are implicit arguments of Find.",⍷
⍷,"X and Y may be any arrays.  R is a simple Boolean array the same shape as Y which identifies occurrences of X within Y.<br/>If the rank of X is smaller than the rank of Y, X is treated as if it were the same rank with leading axes of size 1.  For example a vector is treated as a 1-row matrix.<br/>If the rank of X is larger than the rank of Y, no occurrences of X are found in Y.<br/>⎕CT and ⎕DCT are implicit arguments of Find."
Find,"X and Y may be any arrays.  R is a simple Boolean array the same shape as Y which identifies occurrences of X within Y.<br/>If the rank of X is smaller than the rank of Y, X is treated as if it were the same rank with leading axes of size 1.  For example a vector is treated as a 1-row matrix.<br/>If the rank of X is larger than the rank of Y, no occurrences of X are found in Y.<br/>⎕CT and ⎕DCT are implicit arguments of Find."
